Data File Name,Scale Name,Column Name,Answer,Response,Score
TDS1_Session_3_child,YRBS,YRBS_13,15,15,0
TDS1_Session_3_child,YRBS,YRBS_13,16,16,0
TDS1_Session_3_child,YRBS,YRBS_13,17,17,0
TDS1_Session_3_child,YRBS,YRBS_13,18 or older,18,0
TDS1_Session_3_child,YRBS,YRBS_14,0 days,0,0
TDS1_Session_3_child,YRBS,YRBS_14,1 or 2 days,1,1
TDS1_Session_3_child,YRBS,YRBS_14,3 to 5 days,2,1
TDS1_Session_3_child,YRBS,YRBS_14,6 to 9 days,3,1
TDS1_Session_3_child,YRBS,YRBS_14,10 to 19 days,4,1
TDS1_Session_3_child,YRBS,YRBS_14,20 to 29 days,5,1
TDS1_Session_3_child,YRBS,YRBS_14,All 30 days,6,1
TDS1_Session_3_child,YRBS,YRBS_15,0 days,0,0
TDS1_Session_3_child,YRBS,YRBS_15,1 or 2 days,1,1
TDS1_Session_3_child,YRBS,YRBS_15,3 to 5 days,2,1
TDS1_Session_3_child,YRBS,YRBS_15,6 to 9 days,3,1
TDS1_Session_3_child,YRBS,YRBS_15,10 to 19 days,4,1
TDS1_Session_3_child,YRBS,YRBS_15,20 to 29 days,5,1
TDS1_Session_3_child,YRBS,YRBS_15,All 30 days,6,1
TDS1_Session_3_child,YRBS,YRBS_17,0 times,0,0
TDS1_Session_3_child,YRBS,YRBS_17,1 time,1,1
TDS1_Session_3_child,YRBS,YRBS_17,2 or 3 times,2,1
TDS1_Session_3_child,YRBS,YRBS_17,4 or 5 times,3,1
TDS1_Session_3_child,YRBS,YRBS_17,6 or more times,4,1
TDS1_Session_3_child,YRBS,YRBS_18,0 times,0,0
TDS1_Session_3_child,YRBS,YRBS_18,1 time,1,1
TDS1_Session_3_child,YRBS,YRBS_18,2 or 3 times,2,1
TDS1_Session_3_child,YRBS,YRBS_18,4 or 5 times,3,1
TDS1_Session_3_child,YRBS,YRBS_18,6 or more times,4,1
TDS1_Session_3_child,YRBS,YRBS_19,0 times,0,0
TDS1_Session_3_child,YRBS,YRBS_19,1 time,1,1
TDS1_Session_3_child,YRBS,YRBS_19,2 or 3 times,2,1
TDS1_Session_3_child,YRBS,YRBS_19,4 or 5 times,3,1
TDS1_Session_3_child,YRBS,YRBS_19,6 or more times,4,1
TDS1_Session_3_child,YRBS,YRBS_21,I have never tried marijuana,0,0
TDS1_Session_3_child,YRBS,YRBS_21,8 or younger,8,1
TDS1_Session_3_child,YRBS,YRBS_21,9,9,1
TDS1_Session_3_child,YRBS,YRBS_21,10,10,1
TDS1_Session_3_child,YRBS,YRBS_21,11,11,1
TDS1_Session_3_child,YRBS,YRBS_21,12,12,1
TDS1_Session_3_child,YRBS,YRBS_21,13,13,1
TDS1_Session_3_child,YRBS,YRBS_21,14,14,0
TDS1_Session_3_child,YRBS,YRBS_21,15,15,0
TDS1_Session_3_child,YRBS,YRBS_21,16,16,0
TDS1_Session_3_child,YRBS,YRBS_21,17,17,0
TDS1_Session_3_child,YRBS,YRBS_21,18 or older,18,0
TDS1_Session_3_child,YRBS,YRBS_22,0 days,0,0
TDS1_Session_3_child,YRBS,YRBS_22,1 or 2 days,1,1
TDS1_Session_3_child,YRBS,YRBS_22,3 to 5 days,2,1
TDS1_Session_3_child,YRBS,YRBS_22,6 to 9 days,3,1
TDS1_Session_3_child,YRBS,YRBS_22,10 to 19 days,4,1
TDS1_Session_3_child,YRBS,YRBS_22,20 to 29 days,5,1
TDS1_Session_3_child,YRBS,YRBS_22,All 30 days,6,1
